shelter_id,shelter_name,shelter_type,gmina_code,capacity,has_kitchen,has_medical_room,accessible_disabled,lat,lon
SH0318,punkt_przyjecia_0318,osrodek,0612002,557,0,0,0,51.50142,22.7561
SH0319,punkt_przyjecia_0319,szkola,3221006,430,0,1,0,53.28116,14.57351
SH0320,punkt_przyjecia_0320,szkola,3034003,353,1,1,1,52.98329,16.8569
SH0321,punkt_przyjecia_0321,internat,1825006,627,1,0,1,49.63396,22.72194
SH0322,punkt_przyjecia_0322,szkola,2016006,349,1,0,1,53.5559,23.45257
SH0323,punkt_przyjecia_0323,osrodek,2816003,369,0,1,0,54.35416,19.51765
SH0324,punkt_przyjecia_0324,internat,0209004,442,0,0,1,50.99415,16.80919
SH0325,punkt_przyjecia_0325,szkola,2806001,146,1,0,0,53.82066,20.77214
SH0326,punkt_przyjecia_0326,osrodek,2419008,646,0,1,0,50.93842,19.38389
SH0327,punkt_przyjecia_0327,hala,2436004,388,1,0,1,50.56134,18.44999
SH0328,punkt_przyjecia_0328,hala,2420008,415,1,0,0,50.08173,20.45015
SH0329,punkt_przyjecia_0329,osrodek,3005004,145,0,1,1,53.254,16.56272
SH0330,punkt_przyjecia_0330,internat,3016002,177,1,0,1,52.23682,16.95365
SH0331,punkt_przyjecia_0331,internat,2604003,371,1,0,1,50.28873,21.01521
SH0332,punkt_przyjecia_0332,osrodek,3216004,464,1,0,0,53.39602,14.62213
SH0333,punkt_przyjecia_0333,hala,1810007,489,0,1,1,49.99019,21.62412
SH0334,punkt_przyjecia_0334,osrodek,0602002,178,1,1,1,51.78094,22.78206
SH0335,punkt_przyjecia_0335,hala,2430005,276,1,0,0,50.31237,18.91844
SH0336,punkt_przyjecia_0336,internat,2604002,79,1,1,1,50.81564,21.05522
SH0337,punkt_przyjecia_0337,szkola,1819002,159,0,0,1,50.31913,22.00059
SH0338,punkt_przyjecia_0338,osrodek,2808002,501,0,0,1,54.2262,20.746
SH0339,punkt_przyjecia_0339,internat,1024006,631,0,1,0,51.72611,19.31411
SH0340,punkt_przyjecia_0340,osrodek,1218002,588,1,0,1,50.21374,20.00969
SH0341,punkt_przyjecia_0341,osrodek,1424005,569,1,1,0,51.93997,21.19205
SH0342,punkt_przyjecia_0342,osrodek,1437005,330,1,0,1,52.21075,20.88841
SH0343,punkt_przyjecia_0343,szkola,3027004,88,1,0,1,51.71842,16.48777
SH0344,punkt_przyjecia_0344,hala,3002003,535,0,1,1,52.37051,16.77263
SH0345,punkt_przyjecia_0345,hala,0601004,573,0,1,1,51.45358,21.40195
SH0346,punkt_przyjecia_0346,internat,2403003,379,0,1,0,50.26197,18.75171
SH0347,punkt_przyjecia_0347,hala,3027002,398,1,1,0,52.18691,16.45092
SH0348,punkt_przyjecia_0348,internat,2610008,89,1,0,1,51.66334,21.16444
SH0349,punkt_przyjecia_0349,szkola,2428005,169,1,0,0,49.42902,19.23927
SH0350,punkt_przyjecia_0350,osrodek,0606002,188,0,0,0,51.67201,22.54758
SH0351,punkt_przyjecia_0351,internat,1401004,636,1,1,1,51.89288,21.04832
SH0352,punkt_przyjecia_0352,osrodek,1414004,316,0,0,0,52.2604,20.16102
SH0353,punkt_przyjecia_0353,osrodek,3209006,531,0,1,1,53.44291,15.51399
SH0354,punkt_przyjecia_0354,osrodek,2609004,241,1,0,0,50.8147,20.55346
SH0355,punkt_przyjecia_0355,osrodek,2414007,417,0,0,1,51.04905,19.02204
SH0356,punkt_przyjecia_0356,internat,2004003,435,0,0,1,53.13036,23.59444
SH0357,punkt_przyjecia_0357,osrodek,1432004,407,1,1,1,52.65043,20.56839
SH0358,punkt_przyjecia_0358,hala,1420003,203,1,1,0,52.06946,21.31697
SH0359,punkt_przyjecia_0359,hala,0624004,452,0,0,1,51.24502,22.47041
SH0360,punkt_przyjecia_0360,szkola,1806001,567,0,1,0,50.34875,21.72328
SH0361,punkt_przyjecia_0361,hala,3014004,105,1,0,0,52.61,17.00124
SH0362,punkt_przyjecia_0362,hala,1205006,296,1,1,1,49.72956,18.79001
SH0363,punkt_przyjecia_0363,osrodek,2802002,110,0,0,1,53.57417,20.54349
SH0364,punkt_przyjecia_0364,osrodek,3214005,299,1,1,0,53.82817,13.51785
SH0365,punkt_przyjecia_0365,hala,0611001,166,0,0,0,50.70977,20.70978
SH0366,punkt_przyjecia_0366,hala,1605006,551,0,0,0,50.70246,17.31353
SH0367,punkt_przyjecia_0367,hala,2010003,131,0,0,1,53.62324,23.06312
SH0368,punkt_przyjecia_0368,szkola,1609001,164,1,0,1,51.37028,18.03337
SH0369,punkt_przyjecia_0369,hala,3013004,466,1,1,1,53.19089,17.52653
SH0370,punkt_przyjecia_0370,szkola,1434006,444,1,0,0,52.40527,21.27861
SH0371,punkt_przyjecia_0371,osrodek,0405001,92,1,1,1,52.96511,18.63993
SH0372,punkt_przyjecia_0372,internat,0804001,166,0,1,1,53.15774,15.36124
SH0373,punkt_przyjecia_0373,szkola,0612005,287,1,0,1,51.72356,22.82785
SH0374,punkt_przyjecia_0374,osrodek,3204003,304,0,0,1,53.52191,14.33995
SH0375,punkt_przyjecia_0375,internat,2606007,65,0,0,1,50.94328,20.98049
SH0376,punkt_przyjecia_0376,osrodek,2424001,640,1,0,0,49.96792,19.37691
SH0377,punkt_przyjecia_0377,szkola,1201008,552,1,0,0,50.34153,20.91832
SH0378,punkt_przyjecia_0378,internat,1421003,204,1,0,0,52.01441,21.07913
SH0379,punkt_przyjecia_0379,szkola,0620002,421,1,0,1,51.30328,22.44263
SH0380,punkt_przyjecia_0380,internat,2219003,255,1,0,1,54.34846,18.07979
SH0381,punkt_przyjecia_0381,szkola,0417004,158,1,1,1,53.16441,18.58909
SH0382,punkt_przyjecia_0382,hala,1006003,615,0,1,1,51.6912,18.79654
SH0383,punkt_przyjecia_0383,osrodek,3032001,200,1,1,0,52.24586,16.97511
SH0384,punkt_przyjecia_0384,hala,0601002,504,0,1,1,51.63376,21.60607
SH0385,punkt_przyjecia_0385,internat,0622006,357,1,1,1,51.71067,22.54948
SH0386,punkt_przyjecia_0386,hala,3219002,411,1,1,1,52.89678,14.64258
SH0387,punkt_przyjecia_0387,internat,3006001,480,0,1,0,52.03361,17.38504
SH0388,punkt_przyjecia_0388,internat,2430004,195,0,0,1,50.44366,18.8367
SH0389,punkt_przyjecia_0389,internat,1606004,209,1,0,1,50.12263,18.50274
SH0390,punkt_przyjecia_0390,szkola,1611001,118,1,1,0,50.58951,18.28207
SH0391,punkt_przyjecia_0391,hala,0610001,116,0,1,1,50.80951,23.45329
SH0392,punkt_przyjecia_0392,osrodek,1217004,126,0,0,1,49.64029,20.42866
SH0393,punkt_przyjecia_0393,hala,0421006,231,0,1,1,53.16093,17.02744
SH0394,punkt_przyjecia_0394,hala,1412005,502,0,1,1,52.36872,21.18016
SH0395,punkt_przyjecia_0395,szkola,3024005,543,1,0,1,51.24474,16.77756
SH0396,punkt_przyjecia_0396,szkola,1009004,184,1,0,1,51.77859,18.43096
SH0397,punkt_przyjecia_0397,internat,2404005,139,1,0,0,50.41894,18.5495
SH0398,punkt_przyjecia_0398,internat,3217004,526,1,1,0,53.63813,14.48194
SH0399,punkt_przyjecia_0399,szkola,1602004,165,1,0,1,51.38755,17.79465
SH0400,punkt_przyjecia_0400,osrodek,1407004,526,0,0,1,51.91858,20.73414
